country_code,bolsa_lcu,dollar_ex,GDP_dollar,bigmac_lcu,ppp,Country,H index,Citations per document,bolsa_dollar,bigmac_dollar
ARG,1158648,105.0165,8571.94,450.0,,Argentina,477,17,11033.009098570225,4.285040922140807
AUS,30000,1.41934568164076,52905.4,6.4,1.438979,Australia,1115,23,21136.500000000055,4.509120000000012
AUT,27912,0.892060660124889,48592.71,3.8,0.770831,Austria,740,24,31289.35199999998,4.259799999999997
BEL,28200,0.892060660124889,44688.46,4.55,0.742723,Belgium,886,26,31612.19999999998,5.100549999999997
BRA,32664,5.31,6822.56,22.9,2.53,Brazil,649,13,6151.412429378532,4.312617702448211
GBR,16815,0.7453508739239,40394.13,3.59,0.692802,United Kingdom,1618,25,22559.84474999999,4.816523499999998
CAN,25567,1.2718,43294.8,6.77,1.253066,Canada,1299,26,20103.003616920898,5.323164019499921
CHL,9380028,798.6,12992.98,3100.0,430.349555,Chile,441,17,11745.589782118708,3.881793137991485
CHN,43764,6.36535,10511.34,24.4,4.18,China,1010,10,6875.348566850213,3.8332534738859603
CZE,299460,21.6802,22942.86,89.0,12.919712,Czech Republic,524,13,13812.603204767483,4.105128181474341
DNK,378312,6.6373,61153.92,32.0,6.593618,Denmark,843,30,56997.87564220391,4.8212375514139785
EGY,84000,15.71,3600.84,42.5,,Egypt,322,12,5346.912794398472,2.7052832590706557
EST,21312,0.892060660124889,23035.91,3.4,0.546689,Estonia,317,21,23890.751999999986,3.8113999999999977
FIN,31776,0.892060660124889,48786.03,4.95,0.829754,Finland,711,26,35620.89599999998,5.548949999999997
FRA,21120,0.892060660124889,40298.85,4.35,0.725323,France,1286,23,23675.519999999986,4.876349999999997
DEU,25536,0.892060660124889,46215.6,4.46,0.741488,Germany,1429,23,28625.85599999998,4.999659999999997
GRC,10908,0.892060660124889,17657.1,3.4,0.547807,Greece,567,19,12227.867999999993,3.8113999999999977
HKG,216000,7.79755,46657.2,22.0,,Hong Kong,639,24,27701.008650152933,2.8213990291822433
HUN,2177088,317.51115,15866.22,982.0,154.840118,Hungary,510,18,6856.729283365325,3.0928047723678365
IND,427260,74.6225,1929.68,190.0,23.3,India,691,10,5725.618948708499,2.546148949713558
IDN,48911844,14382.0,3921.62,34000.0,4738.64,Indonesia,259,5,3400.906967042136,2.3640661938534278
IDN,192000000,14382.0,3921.62,34000.0,4738.64,Iran,376,11,13350.020859407592,2.3640661938534278
IRL,18846,0.892060660124889,85205.5,4.6,0.787487,Ireland,591,23,21126.365999999987,5.1565999999999965
ISR,99084,3.17775,44181.17,17.0,3.799707,Israel,786,26,31180.552277554874,5.349697112736999
ITA,14400,0.892060660124889,31604.43,4.8,0.654354,Italy,1135,21,16142.39999999999,5.380799999999996
JPN,1839744,115.225,40088.6,390.0,100.41164,Japan,1118,18,15966.535040138859,3.3846821436320247
MYS,24000,4.1855,10231.34,9.99,,Malaysia,373,10,5734.081949587862,2.386811611515948
MEX,206208,20.649,8403.6,69.0,10.043314,Mexico,504,14,9986.343164317885,3.341566177538864
MDA,36000,18.0,4522.6,52.0,,Morocco,222,10,2000.0,2.888888888888889
NLD,34704,0.892060660124889,52456.09,4.4,0.769839,Netherlands,1133,30,38903.18399999998,4.932399999999998
NZL,27000,1.52264940997335,41164.58,7.0,1.486354,New Zealand,587,23,17732.25000000004,4.5972500000000105
NOR,516612,8.91605,67326.07,57.0,9.674744,Norway,699,24,57941.80158253935,6.392965494809921
PAK,420000,176.52,1254.86,590.0,,Pakistan,323,10,2379.333786539769,3.342397462043961
POL,34008,4.094,15699.3,14.08,1.837204,Poland,630,12,8306.790425012212,3.4391792867611137
PRT,13680,0.892060660124889,22148.8,3.45,0.571596,Portugal,560,18,15335.27999999999,3.8674499999999976
ROU,32400,4.4119,12867.64,10.6,1.745966,Romania,343,9,7343.774790906412,2.402592987148394
RUS,816720,77.4175,10115.35,135.0,27.331899,Russia,652,8,10549.552749701294,1.7437917783446895
SAU,120120,3.7519,19995.7,15.0,,Saudi Arabia,425,14,32015.778672139448,3.9979743596577735
SGP,30000,1.35215,59794.6,5.9,,Singapore,646,23,22186.88754945827,4.363421218060127
SVK,11604,0.892060660124889,19144.92,3.8,0.540124,Slovakia,318,12,13008.083999999992,4.259799999999997
SVN,13872,0.892060660124889,25548.77,2.8,0.565944,Slovenia,349,16,15550.51199999999,3.138799999999998
ZAF,150883,15.47,5624.5,39.9,7.04,South Africa,531,16,9753.264382676147,2.5791855203619907
KOR,16140672,1205.5,31638.46,4600.0,847.456839,South Korea,762,15,13389.192866030693,3.815844048112816
ESP,19000,0.892060660124889,27179.45,4.58,0.624463,Spain,1010,20,21298.999999999985,5.134179999999997
SWE,382056,9.3341,52129.13,54.0,8.708853,Sweden,974,28,40931.20922209961,5.785239069647851
CHE,52846,0.93105,87366.6,6.5,1.104516,Switzerland,1085,31,56759.57252564309,6.981365125396058
TWN,300000,27.814,28358.3,75.0,,Taiwan,585,16,10785.935140576688,2.696483785144172
THA,240000,33.295,7187.86,128.0,,Thailand,369,13,7208.289532962907,3.844421084246884
TUR,75036,13.4155,8610.03,24.99,2.781851,Turkey,500,12,5593.231709589654,1.8627706757109312
ARE,120000,3.67305,38661.18,17.0,,United Arab Emirates,241,11,32670.39653693797,4.6283061760662125
USA,45606,1.0,63358.49,5.81,1.0,United States,2577,28,45606.0,5.81
